Namecoin Mining Distribution
Block: 463080
26 Jul 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  13,223,387,182      100.00%               0           

             BTC.com       15.97%   2,112,068,786        0.00%               0                     95.65%
             AntPool       14.58%   1,928,410,630        0.00%               0                     85.71%
              F2Pool       14.58%   1,928,410,630        0.00%               0                     90.48%
             BTC.TOP       11.11%   1,469,265,242        0.00%               0                     75.00%
          Huobi.pool       11.11%   1,469,265,242        0.00%               0                     75.00%
              Poolin       11.11%   1,469,265,242        0.00%               0                     87.50%
           SlushPool       11.11%   1,469,265,242        0.00%               0                     81.25%
              ViaBTC        5.56%     734,632,621        0.00%               0                     87.50%
               Bixin        2.08%     275,487,232        0.00%               0                    100.00%
          okpool.top        2.08%     275,487,232        0.00%               0                     66.67%
             WAYI.CN        0.69%      91,829,077        0.00%               0                    100.00%
