Namecoin Mining Distribution
Block: 421932
18 Oct 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%   8,882,369,899      100.00%               0           

              BTC.COM-172       21.99%   1,953,840,187        0.00%               0                     73.24%
                Slush-172       15.18%   1,347,571,520        0.00%               0                     71.43%
               ViaBTC-172       14.56%   1,291,776,686        0.00%               0                     77.30%
              BTC.TOP-172       13.27%   1,177,724,140        0.00%               0                     71.21%
               F2Pool-172       10.33%     918,066,011        0.00%               0                     71.00%
               Poolin-172        7.80%     692,423,796        0.00%               0                     70.86%
              AntPool-172        5.16%     459,470,343        0.00%               0                     77.00%
              Unknown-172        5.11%     454,383,436        0.00%               0                     77.78%
                Huobi-172        2.79%     247,657,563        0.00%               0                     77.78%
                Bixin-172        1.60%     142,347,543        0.00%               0                     74.19%
               ViaBTC-180        0.83%      73,359,403        0.00%               0                    100.00%
              BTC.TOP-180        0.77%      68,749,592        0.00%               0                    100.00%
              Unknown-180        0.41%      36,639,943        0.00%               0                    100.00%
               BTPOOL-172        0.10%       9,140,106        0.00%               0                      0.00%
               F2Pool-190        0.05%       4,609,811        0.00%               0                    100.00%
              Unknown-190        0.05%       4,609,811        0.00%               0                    100.00%
