Namecoin Mining Distribution
Block: 499968
01 Apr 2020 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  20,550,850,130      100.00%               0           

              F2Pool       21.48%   4,412,745,822        0.00%               0                     92.15%
              Poolin       17.56%   3,608,900,142        0.00%               0                     94.07%
             BTC.com       12.00%   2,467,101,227        0.00%               0                     94.63%
             AntPool       11.31%   2,324,376,362        0.00%               0                     93.42%
            OKExPool        7.59%   1,559,778,875        0.00%               0                     90.20%
              1THash        6.15%   1,264,134,513        0.00%               0                     92.74%
          Huobi.pool        5.75%   1,182,577,447        0.00%               0                     93.97%
           SlushPool        5.11%   1,050,047,216        0.00%               0                     90.29%
             Unknown        3.42%     703,429,688        0.00%               0                     89.86%
            BytePool        3.22%     662,651,156        0.00%               0                     87.69%
             BTC.TOP        2.48%     509,731,658        0.00%               0                     98.00%
              ViaBTC        2.33%     479,147,758        0.00%               0                     93.62%
          SpiderPool        0.69%     142,724,864        0.00%               0                    100.00%
             WAYI.CN        0.55%     112,140,964        0.00%               0                     90.91%
          MiningCity        0.35%      71,362,432        0.00%               0                    100.00%
