Namecoin Mining Distribution
Block: 506016
12 May 2020 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  22,017,487,722      100.00%               0           

              F2Pool       22.82%   5,023,925,820        0.00%               0                     88.70%
              Poolin       17.86%   3,931,768,033        0.00%               0                     90.00%
             AntPool       13.54%   2,981,590,758        0.00%               0                     87.91%
             BTC.com       12.90%   2,839,610,246        0.00%               0                     88.08%
            OKExPool        6.60%   1,452,569,856        0.00%               0                     87.97%
              ViaBTC        6.50%   1,430,726,701        0.00%               0                     90.84%
          Huobi.pool        5.21%   1,146,765,676        0.00%               0                     87.62%
           SlushPool        5.16%   1,135,844,098        0.00%               0                     78.85%
              1THash        4.17%     917,412,541        0.00%               0                     85.71%
        Binance Pool        1.69%     371,333,647        0.00%               0                     79.41%
             BTC.TOP        1.69%     370,920,382        0.00%               0                     85.29%
          SpiderPool        1.14%     251,196,291        0.00%               0                     69.57%
             WAYI.CN        0.25%      54,607,889        0.00%               0                    100.00%
          MiningCity        0.15%      32,764,733        0.00%               0                    100.00%
           NovaBlock        0.15%      32,764,733        0.00%               0                    100.00%
             Unknown        0.15%      32,764,733        0.00%               0                    100.00%
        Mining-Dutch        0.05%      10,921,577        0.00%               0                    100.00%
